"Termos","Freq","Documento","IES","Código"
"altern",2,3,1,186
"among",1,3,1,208
"andrea",1,3,1,238
"area",2,3,1,311
"averag",1,3,1,432
"base",1,3,1,473
"becom",1,3,1,498
"big",1,3,1,551
"brazil",4,3,1,656
"brought",1,3,1,681
"built",2,3,1,696
"calcul",3,3,1,720
"can",1,3,1,737
"capac",1,3,1,754
"case",1,3,1,791
"census",1,3,1,834
"children",1,3,1,895
"ciência",1,3,1,917
"citi",2,3,1,930
"combin",1,3,1,1017
"conduct",1,3,1,1093
"configur",1,3,1,1101
"construct",2,3,1,1133
"contribut",1,3,1,1161
"cost",1,3,1,1204
"creat",1,3,1,1236
"cristiano",1,3,1,1250
"data",9,3,1,1330
"deal",1,3,1,1342
"demand",2,3,1,1392
"design",1,3,1,1430
"develop",1,3,1,1452
"difficulti",2,3,1,1490
"dimens",1,3,1,1497
"diniz",1,3,1,1502
"disabl",3,3,1,1507
"due",5,3,1,1621
"either",1,3,1,1683
"elabor",1,3,1,1685
"elderli",1,3,1,1689
"environment",2,3,1,1771
"escola",1,3,1,1815
"estatística",1,3,1,1827
"even",1,3,1,1855
"face",1,3,1,1938
"ferraz",1,3,1,1996
"form",1,3,1,2085
"found",1,3,1,2100
"gain",1,3,1,2165
"gender",1,3,1,2197
"goal",1,3,1,2267
"gonçalv",1,3,1,2276
"green",1,3,1,2317
"grow",1,3,1,2328
"health",1,3,1,2395
"ibg",1,3,1,2537
"imageri",1,3,1,2566
"import",2,3,1,2587
"includ",1,3,1,2606
"inclus",1,3,1,2607
"increas",2,3,1,2617
"increasingli",1,3,1,2618
"indic",8,3,1,2626
"inform",1,3,1,2660
"ísi",1,3,1,2786
"keyword",1,3,1,2877
"lack",3,3,1,2921
"life",2,3,1,3023
"mainten",1,3,1,3144
"measur",1,3,1,3249
"method",3,3,1,3306
"multifunct",1,3,1,3466
"nacion",1,3,1,3502
"need",2,3,1,3540
"new",1,3,1,3581
"non",1,3,1,3614
"object",1,3,1,3674
"often",1,3,1,3697
"open",9,3,1,3721
"part",2,3,1,3855
"particularli",1,3,1,3863
"peixoto",1,3,1,3908
"peopl",2,3,1,3919
"plan",1,3,1,4006
"platform",1,3,1,4014
"polici",2,3,1,4048
"popul",3,3,1,4071
"possibl",1,3,1,4093
"produc",1,3,1,4206
"proport",1,3,1,4238
"provid",1,3,1,4253
"public",7,3,1,4273
"qualiti",2,3,1,4302
"rate",1,3,1,4369
"reason",1,3,1,4395
"relat",1,3,1,4461
"relev",1,3,1,4466
"resourc",1,3,1,4516
"respons",1,3,1,4520
"result",1,3,1,4528
"sampl",1,3,1,4648
"satellit",1,3,1,4672
"sdg",3,3,1,4728
"search",1,3,1,4731
"sex",1,3,1,4809
"share",1,3,1,4818
"silva",1,3,1,4865
"social",2,3,1,4959
"solv",1,3,1,4980
"sourc",3,3,1,4992
"space",6,3,1,4999
"spite",1,3,1,5036
"stand",1,3,1,5074
"still",1,3,1,5102
"studi",1,3,1,5142
"supervisor",2,3,1,5207
"survei",3,3,1,5225
"sustain",1,3,1,5232
"target",2,3,1,5276
"technic",1,3,1,5293
"tradit",2,3,1,5459
"tri",1,3,1,5485
"underprivileg",1,3,1,5572
"univers",1,3,1,5601
"urban",2,3,1,5630
"valu",1,3,1,5661
"viii",1,3,1,5730
"wai",1,3,1,5782
"well",1,3,1,5821
"will",3,3,1,5849
"women",1,3,1,5864
"work",2,3,1,5867
"yet",3,3,1,5903
"advisor",2,4,1,96
"alv",1,4,1,192
"ana",1,4,1,216
"analysi",1,4,1,224
"analyz",1,4,1,227
"area",1,4,1,311
"associ",1,4,1,369
"bertho",1,4,1,529
"carolina",1,4,1,781
"carvalho",1,4,1,789
"caus",1,4,1,810
"chanc",2,4,1,860
"ciência",1,4,1,917
"common",1,4,1,1031
"compar",2,4,1,1042
"comparison",1,4,1,1043
"consequ",1,4,1,1120
"consid",1,4,1,1123
"continu",1,4,1,1152
"countri",1,4,1,1216
"damag",1,4,1,1317
"data",1,4,1,1330
"deeper",1,4,1,1367
"devast",1,4,1,1450
"develop",1,4,1,1452
"direct",1,4,1,1504
"due",1,4,1,1621
"effect",1,4,1,1670
"escola",1,4,1,1815
"estatística",1,4,1,1827
"expand",1,4,1,1901
"experienc",1,4,1,1906
"final",1,4,1,2022
"follow",1,4,1,2069
"futur",1,4,1,2158
"gender",5,4,1,2197
"gener",1,4,1,2200
"greater",1,4,1,2313
"group",1,4,1,2326
"health",1,4,1,2395
"higher",1,4,1,2448
"ibg",1,4,1,2537
"identifi",1,4,1,2550
"impact",1,4,1,2578
"increas",1,4,1,2617
"janeiro",2,4,1,2812
"keyword",1,4,1,2877
"larissa",1,4,1,2942
"like",1,4,1,3029
"live",1,4,1,3054
"logist",2,4,1,3071
"lusia",1,4,1,3111
"matheu",1,4,1,3220
"model",3,4,1,3392
"much",1,4,1,3458
"nacion",1,4,1,3502
"object",2,4,1,3674
"observ",1,4,1,3677
"older",1,4,1,3702
"order",1,4,1,3741
"partner",1,4,1,3865
"pereira",1,4,1,3933
"perpetr",1,4,1,3950
"phenomenon",1,4,1,3974
"physic",4,4,1,3983
"point",1,4,1,4039
"predomin",1,4,1,4136
"profil",1,4,1,4214
"psycholog",4,4,1,4268
"public",1,4,1,4273
"quantit",1,4,1,4308
"regard",1,4,1,4436
"relat",2,4,1,4461
"research",1,4,1,4505
"result",1,4,1,4528
"rio",2,4,1,4570
"risk",1,4,1,4573
"secur",1,4,1,4742
"separ",1,4,1,4779
"show",1,4,1,4834
"sinc",1,4,1,4884
"situat",1,4,1,4899
"sleman",1,4,1,4919
"soar",1,4,1,4953
"specif",1,4,1,5014
"state",2,4,1,5081
"statist",1,4,1,5088
"str",1,4,1,5115
"studi",3,4,1,5142
"suffer",3,4,1,5175
"survei",1,4,1,5225
"suscept",1,4,1,5229
"tempor",1,4,1,5309
"trace",1,4,1,5454
"traumat",1,4,1,5479
"type",4,4,1,5527
"unknown",1,4,1,5604
"variabl",1,4,1,5670
"victim",2,4,1,5723
"violenc",19,4,1,5736
"wit",1,4,1,5857
"women",6,4,1,5864
"work",1,4,1,5867
"world",1,4,1,5872
"year",1,4,1,5901
"absenc",1,5,1,16
"achiev",1,5,1,46
"addit",1,5,1,70
"advisor",1,5,1,96
"aggrav",1,5,1,115
"analysi",2,5,1,224
"anoth",1,5,1,254
"anticip",1,5,1,265
"await",1,5,1,435
"base",2,5,1,473
"brazil",2,5,1,656
"brazilian",3,5,1,657
"camila",1,5,1,731
"carvalho",1,5,1,789
"certain",1,5,1,846
"challeng",1,5,1,858
"characterist",1,5,1,870
"ciência",1,5,1,917
"coloni",1,5,1,1009
"complet",1,5,1,1056
"composit",1,5,1,1065
