"Termos","Freq","Documento","IES","Código"
"citi",1,15,2,930
"clínica",1,15,2,959
"cohort",1,15,2,998
"commun",1,15,2,1033
"continu",1,15,2,1152
"contribut",1,15,2,1161
"creation",1,15,2,1237
"crude",1,15,2,1264
"cycl",2,15,2,1301
"declar",1,15,2,1354
"deliveri",1,15,2,1390
"depress",2,15,2,1416
"determin",1,15,2,1445
"develop",1,15,2,1452
"difficulti",1,15,2,1490
"direct",1,15,2,1504
"distribut",1,15,2,1560
"done",1,15,2,1587
"earli",1,15,2,1638
"educ",1,15,2,1664
"effect",3,15,2,1670
"emot",1,15,2,1720
"emotion",1,15,2,1721
"escola",1,15,2,1815
"establish",2,15,2,1824
"estim",1,15,2,1830
"evid",1,15,2,1863
"factor",4,15,2,1942
"família",1,15,2,1954
"faria",1,15,2,1959
"fetal",10,15,2,1999
"fit",1,15,2,2044
"form",1,15,2,2085
"found",1,15,2,2100
"function",1,15,2,2146
"fundament",1,15,2,2149
"gamma",1,15,2,2174
"gener",1,15,2,2200
"germano",1,15,2,2229
"gestat",3,15,2,2235
"greater",1,15,2,2313
"harm",1,15,2,2378
"health",7,15,2,2395
"high",1,15,2,2447
"ident",2,15,2,2548
"identif",1,15,2,2549
"indirect",1,15,2,2630
"infant",8,15,2,2641
"interact",1,15,2,2722
"interview",1,15,2,2749
"involv",1,15,2,2774
"janeiro",1,15,2,2812
"keyword",1,15,2,2877
"less",1,15,2,3001
"life",1,15,2,3023
"like",1,15,2,3029
"linear",1,15,2,3039
"linkag",1,15,2,3043
"locat",1,15,2,3061
"look",1,15,2,3082
"manguinho",1,15,2,3164
"matern",15,15,2,3215
"measur",2,15,2,3249
"mental",2,15,2,3279
"mfa",1,15,2,3316
"model",2,15,2,3392
"moment",1,15,2,3406
"month",2,15,2,3418
"mother",11,15,2,3439
"need",1,15,2,3540
"new",1,15,2,3581
"newborn",1,15,2,3582
"object",1,15,2,3674
"obstetr",1,15,2,3680
"paid",1,15,2,3808
"pariti",1,15,2,3851
"particular",1,15,2,3862
"partner",1,15,2,3865
"pbq",1,15,2,3892
"perceiv",1,15,2,3924
"percept",1,15,2,3928
"period",2,15,2,3941
"popul",1,15,2,4071
"possibl",1,15,2,4093
"postpartum",4,15,2,4100
"pregnanc",5,15,2,4139
"pregnant",2,15,2,4141
"prenat",2,15,2,4147
"previou",1,15,2,4171
"problem",2,15,2,4200
"process",1,15,2,4204
"promot",1,15,2,4229
"prospect",1,15,2,4243
"protocol",1,15,2,4250
"psycholog",2,15,2,4268
"public",1,15,2,4273
"puerper",1,15,2,4276
"qualiti",1,15,2,4302
"questionnair",1,15,2,4322
"regard",1,15,2,4436
"relationship",2,15,2,4463
"relev",1,15,2,4466
"respect",2,15,2,4517
"rio",1,15,2,4570
"role",1,15,2,4598
"saúd",1,15,2,4681
"scale",1,15,2,4690
"self",1,15,2,4754
"sinval",1,15,2,4890
"social",2,15,2,4959
"socioeconom",1,15,2,4965
"special",1,15,2,5011
"start",1,15,2,5078
"studi",4,15,2,5142
"support",2,15,2,5211
"suscept",1,15,2,5229
"symptom",3,15,2,5245
"system",1,15,2,5254
"third",1,15,2,5372
"two",1,15,2,5525
"type",1,15,2,5527
"understand",1,15,2,5574
"unifi",1,15,2,5594
"unit",2,15,2,5598
"uteru",1,15,2,5643
"vala",1,15,2,5651
"valor",2,15,2,5660
"verifi",1,15,2,5701
"vitor",1,15,2,5757
"wai",1,15,2,5782
"want",1,15,2,5791
"week",1,15,2,5812
"whether",1,15,2,5835
"without",2,15,2,5859
"woman",2,15,2,5863
"women",5,15,2,5864
"work",1,15,2,5867
"acycl",1,16,2,61
"adjust",2,16,2,80
"adopt",1,16,2,87
"aim",2,16,2,141
"analyz",1,16,2,227
"answer",1,16,2,258
"ascend",1,16,2,349
"associ",1,16,2,369
"avail",1,16,2,430
"averag",1,16,2,432
"basic",1,16,2,477
"begin",1,16,2,503
"better",2,16,2,535
"binomi",1,16,2,566
"black",1,16,2,591
"brown",1,16,2,682
"built",1,16,2,696
"calcul",2,16,2,720
"capita",1,16,2,756
"case",1,16,2,791
"censu",1,16,2,833
"citi",1,16,2,930
"compani",1,16,2,1040
"condit",2,16,2,1090
"confront",1,16,2,1109
"consid",2,16,2,1123
"contribut",1,16,2,1161
"cov",4,16,2,1220
"covid",3,16,2,1226
"current",1,16,2,1284
"curv",1,16,2,1287
"dag",1,16,2,1309
"dai",2,16,2,1311
"daili",1,16,2,1313
"data",2,16,2,1330
"databas",1,16,2,1331
"densiti",1,16,2,1407
"depart",1,16,2,1412
"depend",1,16,2,1414
"determin",1,16,2,1445
"difficulti",1,16,2,1490
"direct",1,16,2,1504
"distanc",3,16,2,1550
"distribut",2,16,2,1560
"district",4,16,2,1561
"ecolog",1,16,2,1650
"environment",1,16,2,1771
"epidem",3,16,2,1777
"epidemiolog",1,16,2,1778
"even",1,16,2,1855
"extract",1,16,2,1933
"first",2,16,2,2035
"flatten",1,16,2,2048
"gener",1,16,2,2200
"given",1,16,2,2252
"glm",1,16,2,2258
"graph",1,16,2,2305
"health",2,16,2,2395
"high",1,16,2,2447
"higher",2,16,2,2448
"household",1,16,2,2495
"ibg",1,16,2,2537
"identifi",1,16,2,2550
"impact",1,16,2,2578
"includ",1,16,2,2606
"incom",1,16,2,2608
"increas",1,16,2,2617
"index",1,16,2,2624
"indic",3,16,2,2626
"infect",5,16,2,2642
"inform",1,16,2,2660
"inloco",1,16,2,2678
"invers",1,16,2,2767
"isol",1,16,2,2788
"keyword",1,16,2,2877
"lag",1,16,2,2924
"linear",1,16,2,3039
"measur",7,16,2,3249
"method",1,16,2,3306
"methodolog",1,16,2,3307
"minimum",2,16,2,3352
"mobil",5,16,2,3386
"model",2,16,2,3392
"municip",1,16,2,3488
"necessari",1,16,2,3538
"need",1,16,2,3540
"neg",1,16,2,3541
"noteworthi",1,16,2,3639
"number",2,16,2,3660
"observ",2,16,2,3677
"obtain",1,16,2,3681
"outskirt",1,16,2,3780
"pattern",1,16,2,3885
"per",1,16,2,3922
"perform",1,16,2,3936
"phase",1,16,2,3970
"popul",2,16,2,4071
"possibl",2,16,2,4093
"present",1,16,2,4158
"previou",1,16,2,4171
"project",1,16,2,4223
"proport",2,16,2,4238
"publish",1,16,2,4274
"qgi",1,16,2,4293
"racecolor",1,16,2,4335
"recif",4,16,2,4402
"regress",1,16,2,4446
"relationship",1,16,2,4463
"report",1,16,2,4495
"reproduct",2,16,2,4500
"restrict",1,16,2,4525
"result",2,16,2,4528
"sar",4,16,2,4662
"scenario",1,16,2,4694
"set",1,16,2,4799
"show",2,16,2,4834
"similar",1,16,2,4871
"sinc",1,16,2,4884
"social",9,16,2,4959
"socioeconom",3,16,2,4965
"softwar",1,16,2,4972
"sourc",1,16,2,4992
"spatial",2,16,2,5004
"still",1,16,2,5102
"studi",4,16,2,5142
"subsequ",1,16,2,5160
"technologi",1,16,2,5297
"tempor",1,16,2,5309
"teuni",1,16,2,5338
"time",2,16,2,5401
"transmiss",5,16,2,5473
"unit",2,16,2,5598
"vaccin",1,16,2,5647
"valu",1,16,2,5661
"variabl",2,16,2,5670
"wage",1,16,2,5780
"wallinga",1,16,2,5790
"wave",1,16,2,5800
"week",1,16,2,5812
"weekend",1,16,2,5813
"worldclim",1,16,2,5873
"–",5,17,2,NA
"=",2,17,2,NA
"adequ",2,17,2,74
"analysi",2,17,2,224
"app",1,17,2,279
"assist",1,17,2,367
"associ",3,17,2,369
"belong",1,17,2,516
"better",1,17,2,535
"birth",1,17,2,584
"bmi",4,17,2,607
"born",2,17,2,629
"brazil",1,17,2,656
"can",1,17,2,737
"care",1,17,2,771
"carri",2,17,2,783
"caus",1,17,2,810
"chanc",2,17,2,860
"characterist",1,17,2,870
"childbirth",1,17,2,892
"chronic",1,17,2,912
"class",1,17,2,940
"close",1,17,2,962
"color",1,17,2,1010
"compar",1,17,2,1042
"compos",1,17,2,1064
"control",1,17,2,1162
"data",1,17,2,1330
"describ",1,17,2,1425
"develop",3,17,2,1452
"discuss",1,17,2,1525
"diseas",1,17,2,1527
"disord",1,17,2,1532
"earli",2,17,2,1638
"econom",1,17,2,1652
"essenci",1,17,2,1822
"estim",2,17,2,1830
"eutroph",1,17,2,1848
"evalu",1,17,2,1851
"even",1,17,2,1855
"evolut",1,17,2,1866
"exist",1,17,2,1897
"expect",3,17,2,1903
"factor",2,17,2,1942
"fator",1,17,2,1967
"fetus",1,17,2,2001
"fold",1,17,2,2067
"gain",8,17,2,2165
"gestacion",3,17,2,2234
"gestat",1,17,2,2235
"good",1,17,2,2278
"hdp",8,17,2,2393
"healthi",1,17,2,2397
"heathi",1,17,2,2399
"high",1,17,2,2447
"higher",1,17,2,2448
"hospit",2,17,2,2489
"hypertens",2,17,2,2531
"identif",2,17,2,2549
"identifi",1,17,2,2550
"implement",1,17,2,2583
"important",1,17,2,2588
"includ",1,17,2,2606
"increas",1,17,2,2617
"inici",1,17,2,2672
"join",1,17,2,2824
"keyword",1,17,2,2877
"lead",1,17,2,2962
"like",1,17,2,3029
"live",1,17,2,3054
"logist",2,17,2,3071
"matern",2,17,2,3215
"methodologi",1,17,2,3308
"moratl",1,17,2,3425
"morbid",1,17,2,3426
"multinomi",1,17,2,3475
"nutrit",1,17,2,3667
"obes",4,17,2,3672
"objet",1,17,2,3675
"outcom",1,17,2,3770
"overweight",1,17,2,3794
"overwheight",2,17,2,3796
"perform",2,17,2,3936
"popul",1,17,2,4071
"postpartum",2,17,2,4100
"pre",4,17,2,4118
"predict",1,17,2,4134
"predictor",1,17,2,4135
"pregnanc",10,17,2,4139
"pregnancyresult",1,17,2,4140
"prepregn",2,17,2,4151
"preval",3,17,2,4169
"privat",2,17,2,4188
"problem",1,17,2,4200
"project",1,17,2,4223
"puerper",2,17,2,4276
"reduc",1,17,2,4424
"regress",2,17,2,4446
"risk",1,17,2,4573
"sampl",1,17,2,4648
"select",1,17,2,4753
"signific",1,17,2,4857
"skin",1,17,2,4912
"statu",1,17,2,5091
"stillbirth",1,17,2,5103
"stood",1,17,2,5111
"studi",7,17,2,5142
"tha",1,17,2,5344
"throughout",1,17,2,5389
"univari",1,17,2,5600
"variabl",2,17,2,5670
"week",1,17,2,5812
"weight",9,17,2,5817
"white",1,17,2,5837
"women",7,17,2,5864
"worldwid",1,17,2,5874
"year",2,17,2,5901
"abil",1,18,2,11
"adequ",1,18,2,74
"alreadi",1,18,2,180
"also",1,18,2,181
"antibodi",2,18,2,264
"anticoagul",1,18,2,266
"antiphospholipid",3,18,2,269
"applic",1,18,2,284
"apsarticl",1,18,2,297
"armd",1,18,2,331
"arthriti",1,18,2,341
"articl",4,18,2,342
"associ",1,18,2,369
"autoimmun",1,18,2,421
"biolog",1,18,2,570
"call",1,18,2,726
"can",1,18,2,737
"chronic",1,18,2,912
"condit",2,18,2,1090
"consist",1,18,2,1125
"contribut",1,18,2,1161
"covid",1,18,2,1226
"criteria",3,18,2,1253
"cut",1,18,2,1293
"data",2,18,2,1330
"databas",1,18,2,1331
"defin",1,18,2,1373
"describ",1,18,2,1425
"develop",1,18,2,1452
"diagnosi",1,18,2,1465
"diagnost",1,18,2,1466
"diseas",1,18,2,1527
"diseasesimrd",1,18,2,1528
"divid",1,18,2,1568
"embas",1,18,2,1713
"erythematosu",2,18,2,1811
"establish",2,18,2,1824
"evalu",2,18,2,1851
"exclud",1,18,2,1887
"exclus",1,18,2,1888
"extract",2,18,2,1933
"februari",1,18,2,1977
"focus",1,18,2,2066
"follow",1,18,2,2069
"gener",1,18,2,2200
"help",1,18,2,2411
"immun",1,18,2,2575
"imrd",4,18,2,2595
"includ",2,18,2,2606
"independ",1,18,2,2623
"inflammatori",1,18,2,2651
"initi",1,18,2,2673
"introduct",1,18,2,2758
"jbi",1,18,2,2816
"juli",1,18,2,2843
"keyword",1,18,2,2877
"languag",1,18,2,2936
"librarian",1,18,2,3018
"literatur",3,18,2,3050
"lupu",2,18,2,3110
"mani",1,18,2,3165
"manifest",3,18,2,3166
"mediat",1,18,2,3258
"medic",1,18,2,3259
"medlin",1,18,2,3263
"met",1,18,2,3295
"natur",1,18,2,3528
"object",1,18,2,3674
"overal",1,18,2,3783
"pair",1,18,2,3810
"patient",1,18,2,3883
"perform",1,18,2,3936
"peri",1,18,2,3937
"postop",1,18,2,4099
"pre",1,18,2,4118
"pregnanc",1,18,2,4139
"prepar",1,18,2,4148
"preval",4,18,2,4169
"pubm",1,18,2,4275
"recurr",1,18,2,4419
"relat",2,18,2,4461
"restrict",1,18,2,4525
"review",4,18,2,4539
"rheumat",1,18,2,4548
"rheumatoid",1,18,2,4549
"rheumatolog",1,18,2,4550
"saf",1,18,2,4634
"sapporo",1,18,2,4661
"sclerosi",1,18,2,4717
"scopu",1,18,2,4719
"search",2,18,2,4731
"secondari",5,18,2,4736
"select",2,18,2,4753
"sidnei",1,18,2,4846
"sjogren",1,18,2,4907
"sjögren",1,18,2,4908
"sle",5,18,2,4918
"ssc",1,18,2,5054
"studi",2,18,2,5142
"subgroup",1,18,2,5154
"sumari",1,18,2,5189
"syndrom",5,18,2,5248
"synthes",1,18,2,5250
"system",3,18,2,5254
"term",1,18,2,5329
"three",1,18,2,5383
"thrombogenesi",1,18,2,5386
"thrombosi",4,18,2,5387
"thrombot",3,18,2,5388
"time",1,18,2,5401
"tool",1,18,2,5435
"trigger",1,18,2,5489
"vasc",1,18,2,5681
"vascul",2,18,2,5682
"well",1,18,2,5821
"without",2,18,2,5859
"absenc",1,19,2,16
"account",1,19,2,39
"adapt",3,19,2,65
"addit",1,19,2,70
"adequ",2,19,2,74
"adjust",1,19,2,80
"adult",1,19,2,88
"agenda",1,19,2,111
"also",1,19,2,181
"although",1,19,2,187
"analysi",2,19,2,224
"analyz",1,19,2,227
"appli",2,19,2,283
"area",1,19,2,311
"articl",2,19,2,342
"assess",1,19,2,360
"avail",1,19,2,430
"balanc",1,19,2,454
"becom",1,19,2,498
"boundari",1,19,2,636
"brasil",2,19,2,653
"brazilian",3,19,2,657
"can",1,19,2,737
"cfa",2,19,2,852
"cfi",1,19,2,853
"chang",1,19,2,861
"collect",1,19,2,1004
"compos",1,19,2,1064
"conceptu",2,19,2,1081
"conclud",1,19,2,1083
"configur",1,19,2,1101
"confirmatori",1,19,2,1104
"context",1,19,2,1146
"contribut",2,19,2,1161
"control",2,19,2,1162
"correspond",1,19,2,1199
"corrobor",1,19,2,1200
"cross",2,19,2,1260
"cultur",2,19,2,1276
"data",1,19,2,1330
"describ",1,19,2,1425
"develop",1,19,2,1452
"differ",1,19,2,1487
"dimens",5,19,2,1497
"dimension",1,19,2,1498
"diseas",1,19,2,1527
"dissert",1,19,2,1544
"domest",1,19,2,1582
"egalitarian",1,19,2,1675
"elsa",2,19,2,1708
"entitl",1,19,2,1759
"equip",1,19,2,1796
"equival",3,19,2,1799
"evalu",1,19,2,1851
"exclus",1,19,2,1888
"factor",1,19,2,1942
"final",1,19,2,2022
"first",1,19,2,2035
"five",1,19,2,2046
"frequent",1,19,2,2128
"function",1,19,2,2146
"generalconnot",1,19,2,2201
"health",4,19,2,2395
"iii",1,19,2,2559
"impact",1,19,2,2578
"implic",1,19,2,2585
"increasingli",1,19,2,2618
"indic",5,19,2,2626
"interfer",2,19,2,2730
"internet",1,19,2,2737
"invad",2,19,2,2764
"investig",2,19,2,2771
"item",6,19,2,2800
"join",1,19,2,2824
"keyword",1,19,2,2877
"labor",1,19,2,2917
"life",11,19,2,3023
"limit",3,19,2,3035
"longitudin",1,19,2,3080
"market",1,19,2,3198
"mean",2,19,2,3245
"measur",2,19,2,3249
"men",1,19,2,3274
"model",1,19,2,3392
"modifi",1,19,2,3398
"much",1,19,2,3458
"mutual",1,19,2,3495
"nation",1,19,2,3526
"natur",1,19,2,3528
"origin",1,19,2,3748
"perceiv",2,19,2,3924
"permeabl",1,19,2,3945
"person",6,19,2,3954
"polici",1,19,2,4048
"portabl",1,19,2,4080
"portugues",2,19,2,4086
"present",2,19,2,4158
"process",1,19,2,4204
"product",1,19,2,4207
"profession",1,19,2,4211
"promis",1,19,2,4228
"propos",1,19,2,4239
"psychometri",1,19,2,4270
"public",1,19,2,4273
"qualiti",1,19,2,4302
"referentialdenot",1,19,2,4429
"relationship",1,19,2,4463
"relev",1,19,2,4466
"result",1,19,2,4528
"rmsea",1,19,2,4583
"role",1,19,2,4598
"scale",6,19,2,4690
"scientif",1,19,2,4716
"segment",1,19,2,4749
"semant",2,19,2,4758
"show",1,19,2,4834
"societi",1,19,2,4962
"stage",1,19,2,5069
"structur",2,19,2,5137
"studi",1,19,2,5142
"take",1,19,2,5265
"tenuou",1,19,2,5319
"term",2,19,2,5329
"theoret",1,19,2,5352
"third",1,19,2,5372
"three",2,19,2,5383
"time",1,19,2,5401
"tli",1,19,2,5413
"translat",1,19,2,5472
"two",3,19,2,5525
"undergo",1,19,2,5568
"underw",1,19,2,5578
"wave",1,19,2,5800
"well",2,19,2,5821
"women",1,19,2,5864
"work",11,19,2,5867
"worker",4,19,2,5868
"world",1,19,2,5872
"–",4,20,2,NA
"adjust",3,20,2,80
"alwai",1,20,2,193
"among",1,20,2,208
"analyz",2,20,2,227
"anxieti",2,20,2,272
"anxietydepress",2,20,2,273
"brazil",1,20,2,656
"can",1,20,2,737
"capabl",1,20,2,753
"care",1,20,2,771
"carri",3,20,2,783
"chang",1,20,2,861
"child",4,20,2,891
"childhood",2,20,2,894
"children",7,20,2,895
"citi",1,20,2,930
"cohort",1,20,2,998
"common",1,20,2,1031
"compar",1,20,2,1042
"conclus",1,20,2,1084
"confound",1,20,2,1108
"consequ",2,20,2,1120
"continu",1,20,2,1152
"covari",1,20,2,1221
"cumul",1,20,2,1277
"data",1,20,2,1330
"depress",2,20,2,1416
"depressionanxieti",1,20,2,1417
"deriv",1,20,2,1422
"descript",1,20,2,1426
"develop",1,20,2,1452
"effect",2,20,2,1670
"elementari",1,20,2,1697
"emot",1,20,2,1720
"encourag",1,20,2,1736
"estim",4,20,2,1830
"exasper",1,20,2,1876
"expect",1,20,2,1903
"famili",3,20,2,1953
"father",2,20,2,1965
"find",2,20,2,2026
"first",1,20,2,2035
"focus",1,20,2,2066
"found",1,20,2,2100
"gener",1,20,2,2200
"gonçalorj",1,20,2,2275
"group",3,20,2,2326
"hate",1,20,2,2387
"health",3,20,2,2395
"high",1,20,2,2447
"higher",1,20,2,2448
"highest",1,20,2,2449
"home",2,20,2,2475
"import",1,20,2,2587
"incid",1,20,2,2604
"increas",1,20,2,2617
"interact",1,20,2,2722
"interview",1,20,2,2749
"intrafamili",1,20,2,2754
"introduct",1,20,2,2758
"keyword",1,20,2,2877
"long",1,20,2,3077
"longitudin",2,20,2,3080
"love",1,20,2,3092
"lowest",1,20,2,3095
"main",1,20,2,3141
"measur",1,20,2,3249
"mental",2,20,2,3279
"method",1,20,2,3306
"model",1,20,2,3392
"mother",2,20,2,3439
"nucleu",1,20,2,3656
"numer",1,20,2,3662
"object",1,20,2,3674
"obtain",1,20,2,3681
"occurr",2,20,2,3687
"old",1,20,2,3701
"origin",1,20,2,3748
"parentsguardian",1,20,2,3849
"perpetr",1,20,2,3950
"physic",3,20,2,3983
"poisson",1,20,2,4043
"polici",1,20,2,4048
"popul",2,20,2,4071
"practic",1,20,2,4114
"present",1,20,2,4158
"problem",2,20,2,4200
"public",3,20,2,4273
"qualit",1,20,2,4301
"reach",1,20,2,4383
"receiv",1,20,2,4398
"reduc",1,20,2,4424
"reduct",1,20,2,4425
"rel",1,20,2,4460
"repercuss",1,20,2,4491
"result",1,20,2,4528
"risk",2,20,2,4573
"robust",1,20,2,4592
"são",1,20,2,4659
"scenario",1,20,2,4694
"school",1,20,2,4709
"sens",1,20,2,4769
"seriou",1,20,2,4790
"sever",1,20,2,4805
"short",1,20,2,4830
"signific",1,20,2,4857
"small",1,20,2,4929
"social",2,20,2,4959
"spv",3,20,2,5049
"stand",1,20,2,5074
"statist",1,20,2,5088
"student",1,20,2,5141
"studi",4,20,2,5142
"suffer",2,20,2,5175
"term",1,20,2,5329
"toler",1,20,2,5423
"unadjust",2,20,2,5546
"valu",2,20,2,5661
"variabl",1,20,2,5670
"view",1,20,2,5727
"violenc",6,20,2,5736
"vulner",1,20,2,5779
"wave",1,20,2,5800
"within",1,20,2,5858
"world",1,20,2,5872
"year",4,20,2,5901
"add",1,1,3,67
"among",1,1,3,208
"analysi",3,1,3,224
"analyz",1,1,3,227
"basi",1,1,3,476
"best",1,1,3,533
"can",1,1,3,737
"carica",2,1,3,774
"color",3,1,3,1010
"commerci",1,1,3,1025
"confirm",1,1,3,1103
"context",1,1,3,1146
"cubic",1,1,3,1269
"data",3,1,3,1330
"describ",1,1,3,1425
"diagnost",1,1,3,1466
"digit",1,1,3,1494
"effect",4,1,3,1670
"establish",1,1,3,1824
"evalu",2,1,3,1851
"fit",2,1,3,2044
"fix",1,1,3,2047
"fruit",1,1,3,2135
"fruticultur",2,1,3,2136
"function",1,1,3,2146
"harvest",1,1,3,2383
"imag",1,1,3,2564
"import",2,1,3,2587
"increas",1,1,3,2617
"intens",3,1,3,2717
"intercept",1,1,3,2723
"involv",1,1,3,2774
"keyword",1,1,3,2877
"likelihood",1,1,3,3031
"linear",2,1,3,3039
"longitudin",2,1,3,3080
"loss",1,1,3,3087
"main",1,1,3,3141
"matur",3,1,3,3230
"measur",1,1,3,3249
"method",1,1,3,3306
"methodologi",1,1,3,3308
"mix",2,1,3,3373
"model",8,1,3,3392
"motiv",1,1,3,3440
"nation",1,1,3,3526
"obtain",1,1,3,3681
"order",1,1,3,3741
"papaya",6,1,3,3825
"paramet",2,1,3,3838
"peel",2,1,3,3907
"perform",1,1,3,3936
"period",3,1,3,3941
"polynomi",2,1,3,4057
"possibli",1,1,3,4094
"post",1,1,3,4095
"potenti",1,1,3,4106
"product",2,1,3,4207
"quadrat",1,1,3,4298
"random",2,1,3,4359
"rapid",1,1,3,4366
"ratio",1,1,3,4373
"reduc",1,1,3,4424
"regress",2,1,3,4446
"rel",1,1,3,4460
"satisfactori",2,1,3,4675
"sector",1,1,3,4740
"select",3,1,3,4753
"serv",1,1,3,4795
"shell",1,1,3,4822
"six",1,1,3,4902
"solo",1,1,3,4977
"speci",1,1,3,5010
"studi",1,1,3,5142
"sunris",1,1,3,5195
"technolog",1,1,3,5296
"test",2,1,3,5336
"time",1,1,3,5401
"tonal",1,1,3,5431
"tone",2,1,3,5432
"tool",1,1,3,5435
"top",1,1,3,5436
"variabl",2,1,3,5670
"verifi",1,1,3,5701
"wai",1,1,3,5782
"absolut",1,2,3,18
"adequ",1,2,3,74
"affect",1,2,3,100
"algorithm",1,2,3,162
"analysi",2,2,3,224
"analyz",1,2,3,227
"anim",1,2,3,243
"applic",2,2,3,284
"assumpt",1,2,3,372
"asymmetr",1,2,3,378
"asymmetri",3,2,3,379
"base",2,2,3,473
"belong",1,2,3,516
"birth",1,2,3,584
"bodi",1,2,3,611
"calf",1,2,3,724
"calv",2,2,3,727
"can",1,2,3,737
"carri",1,2,3,783
"case",1,2,3,791
"character",1,2,3,868
"classic",1,2,3,942
"classifi",1,2,3,944
"comparison",1,2,3,1043
"condit",1,2,3,1090
"convent",1,2,3,1166
"curv",1,2,3,1287
"data",3,2,3,1330
"depend",1,2,3,1414
"describ",1,2,3,1425
"differ",4,2,3,1487
"distribut",4,2,3,1560
"e<U+FB00>ici",1,2,3,NA
"entir",1,2,3,1757
"equal",1,2,3,1789
"error",2,2,3,1810
"estim",1,2,3,1830
"evalu",1,2,3,1851
"even",1,2,3,1855
"except",1,2,3,1883
"famili",1,2,3,1953
"function",1,2,3,2146
"group",1,2,3,2326
"growth",5,2,3,2330
"heterogen",2,2,3,2433
"higher",1,2,3,2448
"identifi",1,2,3,2550
"impos",1,2,3,2589
"keyword",1,2,3,2877
"laplac",1,2,3,2937
"linear",1,2,3,3039
"lower",1,2,3,3094
"mean",1,2,3,3245
"method",1,2,3,3306
"methodologi",3,2,3,3308
"minim",1,2,3,3350
"model",6,2,3,3392
"motiv",1,2,3,3440
"object",1,2,3,3674
"paramet",1,2,3,3838
"pattern",1,2,3,3885
"period",1,2,3,3941
"possibl",1,2,3,4093
"potenti",1,2,3,4106
"present",3,2,3,4158
"prove",1,2,3,4251
"purpos",1,2,3,4285
"quadrat",1,2,3,4298
"quantil",7,2,3,4307
"refer",1,2,3,4428
"regress",6,2,3,4446
"requir",1,2,3,4502
"respons",1,2,3,4520
"robust",2,2,3,4592
"set",1,2,3,4799
"simplex",1,2,3,4876
"slight",1,2,3,4921
"theori",1,2,3,5353
"time",4,2,3,5401
"understand",1,2,3,5574
"variabl",2,2,3,5670
"varianc",2,2,3,5672
"variat",1,2,3,5675
"week",1,2,3,5812
"weight",3,2,3,5817
"well",1,2,3,5821
"work",1,2,3,5867
"zero",1,2,3,5920
"abil",1,3,3,11
"adapt",2,3,3,65
"adaptivali",1,3,3,66
"aim",1,3,3,141
"altern",1,3,3,186
"analysi",1,3,3,224
"anatom",3,3,3,228
"atribut",2,3,3,392
"avail",2,3,3,430
"base",1,3,3,473
"bayesian",2,3,3,488
"biom",1,3,3,572
"brazilian",2,3,3,657
"cell",3,3,3,828
"cerrado",5,3,3,845
"classic",1,3,3,942
"compar",1,3,3,1042
"comparison",1,3,3,1043
"condit",1,3,3,1090
"consist",1,3,3,1125
"convent",1,3,3,1166
"correl",1,3,3,1197
"cuticl",1,3,3,1295
"data",2,3,3,1330
"develop",1,3,3,1452
"differ",4,3,3,1487
"environ",4,3,3,1770
"epiderm",3,3,3,1780
"especi",1,3,3,1818
"estim",4,3,3,1830
"evalu",3,3,3,1851
"exampl",1,3,3,1875
"final",1,3,3,2022
"five",1,3,3,2046
"height",5,3,3,2408
"humili",4,3,3,2507
"individu",1,3,3,2632
"infer",2,3,3,2644
"initi",1,3,3,2673
"insert",1,3,3,2691
"keyword",1,3,3,2877
"leaf",4,3,3,2964
"least",1,3,3,2972
"licania",2,3,3,3019
"limit",1,3,3,3035
"literatur",1,3,3,3050
"lower",1,3,3,3094
"make",1,3,3,3147
"mani",1,3,3,3165
"mean",2,3,3,3245
"mention",1,3,3,3281
"mesophyil",2,3,3,3290
"method",3,3,3,3306
"modifi",1,3,3,3398
"nativ",1,3,3,3527
"natur",1,3,3,3528
"necessari",1,3,3,3538
"numer",1,3,3,3662
"observ",1,3,3,3677
"occur",1,3,3,3686
"order",1,3,3,3741
"outer",1,3,3,3772
"perform",3,3,3,3936
"periclin",1,3,3,3938
"pinu",1,3,3,4000
"plant",1,3,3,4010
"plastic",5,3,3,4012
"polinomi",1,3,3,4049
"popul",1,3,3,4071
"predict",1,3,3,4134
"present",4,3,3,4158
"prior",1,3,3,4182
"problem",1,3,3,4200
"purpos",1,3,3,4285
"real",2,3,3,4390
"recommend",1,3,3,4405
"regener",1,3,3,4438
"region",1,3,3,4441
"regress",2,3,3,4446
"relat",2,3,3,4461
"report",1,3,3,4495
"research",1,3,3,4505
"respond",1,3,3,4519
"result",1,3,3,4528
"sampl",3,3,3,4648
"show",1,3,3,4834
"simul",2,3,3,4880
"size",1,3,3,4906
"small",2,3,3,4929
"speci",2,3,3,5010
"specif",1,3,3,5014
"start",1,3,3,5078
"structur",2,3,3,5137
"studi",2,3,3,5142
"test",2,3,3,5336
"therefor",1,3,3,5358
"thick",1,3,3,5367
"three",3,3,3,5383
"time",1,3,3,5401
"tukei",1,3,3,5509
"type",1,3,3,5527
"understori",1,3,3,5576
"upper",4,3,3,5628
"valu",1,3,3,5661
"variabl",1,3,3,5670
"varianc",1,3,3,5672
"wall",1,3,3,5788
"water",1,3,3,5798
"agreement",1,4,3,124
"aic",1,4,3,137
"allow",1,4,3,172
"almond",1,4,3,174
"among",1,4,3,208
"anim",2,4,3,243
